Ripper Arm Roll [deg],Ripper Arm Pitch [deg],Ripper Arm Yaw [deg],Ripper Roll [deg],Ripper Pitch [deg],Ripper Yaw [deg],ESP32 Roll [deg],ESP32 Pitch [deg],ESP32 Yaw [deg],Time [H:M:S:MS]
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:516.933
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:616.377
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:730.325
4.37,46.81,0,-7.25,106.69,0,2.75,-1.87,0,05:19:59:817.371
4.37,46.81,0,-7.25,106.69,0,2.75,-1.87,0,05:19:59:912.042
4.37,46.81,0,-7.25,106.69,0,2.75,-1.87,0,05:20:00:19.704
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:113.583
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:238.224
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:378.121
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:473.364
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:583.516
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:667.949
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:760.575
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:866.046
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:968.848
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:01:109.022
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:01:162.334
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:01:280.765
4.37,46.81,0,-7.25,106.69,0,2.81,-1.75,0,05:20:01:365.671
4.37,46.81,0,-7.25,106.69,0,2.87,-1.75,0,05:20:01:497.522
4.37,46.81,0,-7.25,106.69,0,2.87,-1.75,0,05:20:01:572.135
4.37,46.81,0,-7.25,106.69,0,2.87,-1.75,0,05:20:01:661.299
4.37,46.81,0,-7.25,106.69,0,2.87,-1.75,0,05:20:01:766.359
4.37,46.81,0,-7.25,106.69,0,2.87,-1.75,0,05:20:01:872.205
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:01:969.769
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:02:67.309
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:02:169.771
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:02:298.704
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:02:426.49
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:02:526.824
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:02:614.097
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:02:716.158
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:02:854.018
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:02:913.871
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:14.63
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:116.1
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:225.881
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:330.085
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:425.506
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:523.903
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:620.701
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:921.296
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:03:973.164
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:04:47.992
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:04:124.552
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:04:221.942
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:04:326.987
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:04:421.57
4.37,46.81,0,-7.25,106.69,0,3,-1.69,0,05:20:04:533.793
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:04:721.866
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:04:817.048
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:04:913.633
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:36.84
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:114.632
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:233.648
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:309.822
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:418.299
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:526.051
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:617.781
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:718.576
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:825.129
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:05:949.302
4.37,46.81,0,-7.25,106.69,0,3.06,-1.75,0,05:20:06:78.406
4.37,46.81,0,-7.25,106.69,0,3.06,-1.75,0,05:20:06:170.592
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:06:306.4
4.37,46.81,0,-7.25,106.69,0,3.06,-1.69,0,05:20:06:420.422
4.37,46.81,0,-7.25,106.69,0,3,-1.75,0,05:20:06:524.951
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:06:618.166
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:06:761.978
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:06:822.113
4.37,46.81,0,-7.25,106.69,0,2.94,-1.75,0,05:20:06:922.5
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:07:23.663
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:119.018
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:228.588
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:319.701
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:440.153
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:516.723
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:629.98
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:717.667
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:07:812.393
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:07:922.303
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:08:7.758
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:08:117.372
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:08:227.811
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:08:325.939
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:08:416.827
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:08:535.564
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:08:616.845
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:08:727.393
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:08:814.427
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:08:917.622
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:22.422
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:143.697
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:219.581
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:328.415
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:453.479
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:09:570.286
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:662.803
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:769.613
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:09:865.403
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:09:971.95
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:67.815
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:168.838
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:286.119
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:412.441
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:520.751
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:621.875
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:707.433
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:822.989
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:10:960.409
4.37,46.81,0,-7.25,106.69,0,2.87,-1.87,0,05:20:11:90.173
4.37,46.81,0,-7.25,106.69,0,2.87,-1.87,0,05:20:11:163.997
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:11:275.54
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:11:375.929
4.37,46.81,0,-7.25,106.69,0,2.87,-1.87,0,05:20:11:480.33
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:11:576.339
4.37,46.81,0,-7.25,106.69,0,2.87,-1.87,0,05:20:11:661.961
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:11:767.382
4.37,46.81,0,-7.25,106.69,0,2.81,-1.87,0,05:20:11:891.787
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:11:976.48
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:78.549
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:171.416
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:294.304
